,Observation,Next State,Current Weight,Action,# Rebalance,Trading Cost,Trace Error,Daily Return,Total Cost,Total Error,Total UE,Total Return,Reward
2189,[3.24451099e-05 2.14284106e-03 1.84010423e-03 4.70758473e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08002111 0.24051804 0.17022652 0.50913746],[ 3.96147305e-05  1.07170082e-04  2.03398756e-04 -3.50183569e-04],200,4.590463771308107e-06,0.008722975126826016,1.0014210825606136,0.08056993328161184,21.921491832461832,18.90969196006578,2.2478260093204887,0.9926877888699276
2190,[-2.85275286e-05  2.80135803e-03  1.35587127e-03  4.59427335e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08003405 0.2420449  0.16962327 0.51316141],[ 3.21108485e-05 -1.19986406e-03  2.41241235e-04  9.26511975e-04],200,1.5750980128590434e-05,0.008780030184006402,0.9999031250785733,0.080605334756845,21.93027186264584,18.918403156974705,2.2475728458896493,0.9910876934193337
2191,[0.00035365 0.00246932 0.0027966  0.0031034 ],[0.08       0.23999999 0.17000002 0.50999999],[0.08007734 0.2421011  0.17196575 0.51391189],[-2.88617900e-05 -5.41347089e-04 -2.42991716e-04  8.13200595e-04],200,1.067392904412426e-05,0.008722975126826002,1.0048636265516357,0.08062944161435866,21.938994837772665,18.92679376346088,2.258480210426575,0.9961165445672961
2192,[0.00056294 0.0031764  0.00100743 0.0039762 ],[0.08       0.23999999 0.17000002 0.50999999],[0.08001492 0.24014558 0.17088977 0.51013732],[ 0.00035332 -0.00087339  0.00119774 -0.00067767],200,2.0457698778159428e-05,0.008722975126826099,1.00805608596469,0.08067601619480647,21.94771781289949,18.935271180837724,2.2766285178434815,0.9992865362574161
2193,[8.03264382e-05 3.48197910e-03 9.11810315e-04 4.24885927e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08001411 0.24036557 0.16924085 0.51290772],[ 0.00056261 -0.00016631 -0.00059143  0.00019513],200,1.0074538686729828e-05,0.008722975126825933,1.0011875859739483,0.08069897918426597,21.956440788026317,18.943915613256525,2.279309273957085,0.9924416478576629
2194,[0.00018801 0.0035833  0.00278483 0.00216683],[0.08       0.23999999 0.17000002 0.50999999],[0.07996874 0.24022352 0.16985589 0.50774055],[ 7.99921768e-05  1.39273985e-04 -6.87052675e-04  4.67786513e-04],200,9.145472315262318e-06,0.008722975126826016,1.0025282442418868,0.08071987705564924,21.965163763153143,18.952229429086152,2.2850510791445835,0.9937843712436775
2195,[-0.00014563  0.00258679  0.00136656  0.00491526],[0.08       0.23999999 0.17000002 0.50999999],[0.07997917 0.23995434 0.16980216 0.51006855],[ 0.00018768  0.0002406   0.00118597 -0.00161424],200,2.1541575091129028e-05,0.009014244454912682,0.9977886998435762,0.08076899074655076,21.974178007608057,18.961013675121578,2.2799489217364264,0.988725341697762
2196,[5.49937897e-06 3.34136950e-03 1.76347053e-03 3.61263573e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08004222 0.23834399 0.16853713 0.50999999],[-0.00014597 -0.00075591 -0.00023231  0.00113419],200,1.5101567450999946e-05,0.008722975126826016,0.9998042263371844,0.08080341428837381,21.982900982734883,18.969581439243832,2.279468136982559,0.9910468276685352
2197,[-0.00028891  0.00426314  0.00254162  0.00220713],[0.08       0.23999999 0.17000002 0.50999999],[0.07997862 0.23988923 0.16931403 0.50915629],[ 5.16511760e-06 -1.33562023e-06  1.64607535e-04 -1.68437033e-04],200,2.260029501608047e-06,0.009300799068538618,0.996923327156236,0.08080855009197992,21.99220178180342,18.97803302874871,2.272449807602042,0.9876173922840913
2198,[-0.00011142  0.00305415  0.00200301  0.00377723],[0.08       0.23999999 0.17000002 0.50999999],[0.07993074 0.23877266 0.16937803 0.50857037],[-0.00028925  0.00092044  0.00094276 -0.00157395],200,2.4726618424707176e-05,0.00894581143449108,0.9983381688394659,0.0808646453235814,22.00114759323791,18.98664966396745,2.2686171897017373,0.9893362621733733
2199,[-0.00019893  0.0037679   0.00165183  0.00350218],[0.08       0.23999999 0.17000002 0.50999999],[0.07998961 0.23901271 0.17100388 0.50813732],[-1.11752415e-04 -2.88553248e-04  4.04150226e-04 -3.84456271e-06],200,5.354474951957226e-06,0.009120844025506697,0.9966518032038995,0.08087675184106041,22.010268437263417,18.99526002248922,2.2610092656416816,0.9875188526609138
2200,[-0.00013805  0.00388544  0.00027695  0.00469864],[0.08       0.23999999 0.17000002 0.50999999],[0.07995239 0.23806957 0.17065352 0.50887121],[-1.99268711e-04  4.25195815e-04  5.29701131e-05 -2.78897218e-04],200,6.313843550326757e-06,0.008999075279452429,0.9981435206939804,0.08089100090723016,22.019267512542868,19.00403228402136,2.25679747307053,0.9891301963483582
2201,[-0.00014869  0.00468763  0.00052567  0.00365837],[0.08       0.23999999 0.17000002 0.50999999],[0.08008063 0.24071041 0.16792914 0.51096789],[-0.00013838  0.00054273 -0.00132191  0.00091757],200,1.9246291579767074e-05,0.009020357032409498,0.9975466889925246,0.08093432849395107,22.028287869575276,19.012668184997754,2.2512174120060005,0.9884830043733942
2202,[-0.00010529  0.00255719  0.00361734  0.00265374],[0.08       0.23999999 0.17000002 0.50999999],[0.08004155 0.24312804 0.16771806 0.51190731],[-0.00014903  0.00134493 -0.0010732  -0.0001227 ],200,1.768189257414147e-05,0.008933550313282523,0.9996880721053986,0.08097412115801507,22.03722141988856,19.021110343266795,2.250475388713943,0.990714729128052
2203,[0.00018187 0.0008923  0.00434828 0.00330053],[0.08       0.23999999 0.17000002 0.50999999],[0.0801124  0.2393638  0.17138512 0.51018189],[-0.00010562 -0.00078552  0.00201848 -0.00112734],200,2.6528386274328096e-05,0.008722975126826071,1.0027949544801298,0.08103398791756396,22.045944395015386,19.029546926617986,2.256705663503638,0.9940121125937549
2204,[-2.85841608e-05  4.22834851e-03  3.92362755e-04  4.13084802e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08010858 0.24230087 0.17000002 0.51269394],[ 0.00018154 -0.00245041  0.00274942 -0.00048055],200,3.862750317552536e-05,0.008780143448478633,1.0010432111191305,0.0811212463932103,22.054724538463866,19.03821404596942,2.2589727130392263,0.9921758091950056
2205,[0.0002985  0.00227211 0.00246204 0.00369033],[0.08       0.23999999 0.17000002 0.50999999],[0.08003428 0.24287467 0.17167974 0.51014048],[-2.89184222e-05  8.85643392e-04 -1.20650023e-03  3.49775265e-04],200,1.6298137887970226e-05,0.008722975126826085,1.005103408413999,0.08115825073435967,22.063447513590692,19.046701305014107,2.2704643563411824,0.9963434289460235
2206,[0.00034276 0.00161121 0.00072722 0.00604177],[0.08       0.23999999 0.17000002 0.50999999],[0.0800334  0.23999999 0.1677456  0.50715942],[ 2.98166190e-04 -1.07059407e-03  8.63174384e-04 -9.07465020e-05],200,1.539880910062207e-05,0.008722975126826016,1.0047291731703947,0.08119337798663992,22.072170488717518,19.05551092451907,2.281166813012335,0.9959710707912884
2207,[-0.00044023  0.00212175  0.0029999   0.00404155],[0.08       0.23999999 0.17000002 0.50999999],[0.08005148 0.24338644 0.16866645 0.51273819],[ 0.00034243 -0.00173149 -0.00087164  0.0022607 ],200,3.4678913914499264e-05,0.009603426650984362,0.9949384183369001,0.0812720832172163,22.0817739153685,19.064233823677238,2.2695413925135868,0.9852562864553394
2208,[0.00033464 0.00112919 0.00374527 0.00351387],[0.08       0.23999999 0.17000002 0.50999999],[0.0799696  0.24258214 0.16922753 0.51063918],[-0.00044056 -0.00122096  0.00140104  0.00026048],200,2.2021982799715723e-05,0.00872297512682603,1.0048425503898473,0.08132230394777842,22.090496890495327,19.07266701765291,2.2804817812671687,0.9960693545324592
2209,[0.00022367 0.00134582 0.00277963 0.00437386],[0.08       0.23999999 0.17000002 0.50999999],[0.07998563 0.24002443 0.17000002 0.51399868],[ 0.00033431 -0.00221351  0.00214641 -0.0002672 ],200,3.303817846049334e-05,0.008722975126826085,1.0024184494834911,0.08139782663580207,22.099219865622153,19.081257891611386,2.2859216682891197,0.9936199516686414
2210,[0.00033407 0.00427663 0.00227763 0.00183465],[0.08       0.23999999 0.17000002 0.50999999],[0.08001325 0.24197677 0.16871947 0.50981205],[ 0.00022333 -0.00199689  0.00118077  0.00059279],200,2.6657999447494694e-05,0.008722975126826057,1.0040087585509845,0.08145900739600827,22.10794284074898,19.0894976935609,2.2950244382251843,0.9952246026639522
2211,[2.87875229e-05 1.49206695e-03 2.96735751e-03 4.23476314e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.07997077 0.23999999 0.16752405 0.50820696],[ 0.00033373  0.00093392  0.00067877 -0.00194642],200,2.6087803987577705e-05,0.008722975126826113,1.0005215466096633,0.08151890920788217,22.116665815875805,19.098119872744913,2.296161528292344,0.9917386696709632
2212,[-0.00031565  0.00230668  0.00335166  0.00338029],[0.08       0.23999999 0.17000002 0.50999999],[0.07998928 0.24070713 0.17162505 0.5093344 ],[ 2.84532616e-05 -1.85063817e-03  1.36849452e-03  4.53690383e-04],200,2.481628669682659e-05,0.009354276680344858,0.9957017658298807,0.0815756450737327,22.12602009255615,19.10671747663456,2.286235106148536,0.9862907532836853
2213,[0.00014328 0.00303349 0.00025755 0.00528865],[0.08       0.23999999 0.17000002 0.50999999],[0.08005936 0.24093763 0.16949079 0.50832247],[-0.00031599 -0.00103603  0.0017528  -0.00040079],200,2.3402729989283977e-05,0.008722975126826016,1.0016558570416005,0.08162923655968266,22.134743067682976,19.115490882892157,2.2899672805049254,0.9928792904288246
2214,[-0.00015439  0.00211807  0.0019062   0.00485309],[0.08       0.23999999 0.17000002 0.50999999],[0.08006037 0.23763283 0.16898538 0.51140926],[ 0.00014295 -0.00030921 -0.00134131  0.00150758],200,2.207320632574511e-05,0.009031755829834842,0.9988102485858442,0.08167972222594198,22.14377482351281,19.1242604087731,2.2871922417743122,0.9897280070897501
2215,[-0.00021342  0.00525461  0.00228975  0.00139203],[0.08       0.23999999 0.17000002 0.50999999],[0.08003174 0.24326061 0.16954591 0.50999649],[-0.00015472 -0.00122463  0.00030734  0.00107202],200,1.842433579034637e-05,0.009149807670922327,0.9980878397619285,0.08172178086899166,22.152924631183733,19.132590026969936,2.282776623714886,0.9888959734479565
2216,[0.00019482 0.00076972 0.00253223 0.0052262 ],[0.08       0.23999999 0.17000002 0.50999999],[0.0801749  0.24125094 0.17140311 0.51185694],[-0.00021375  0.0019119   0.00069089 -0.00238904],200,3.4698897548255735e-05,0.008722975126826071,1.0028347455504285,0.081801212492409,22.16164760631056,19.141303474698738,2.2891685047593926,0.994032338800185
2217,[0.00019937 0.00321696 0.0009952  0.00431144],[0.08       0.23999999 0.17000002 0.50999999],[0.08003949 0.24024607 0.17000002 0.50979771],[ 0.00019449 -0.00257298  0.00093337  0.00144512],200,3.439753718498323e-05,0.008722975126825933,1.0046858793993285,0.08188032051703685,22.170370581437385,19.149922570710974,2.299816530538671,0.9958837962478747
2218,[-3.24946793e-05  3.11663348e-03  1.61302116e-03  4.02581517e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.07997878 0.2384212  0.16743783 0.51036285],[ 0.00019904 -0.00012574 -0.00060366  0.00053037],200,9.796606662679498e-06,0.008787964485447483,1.0000832902693604,0.08190285257082433,22.17915854592283,19.1585567315971,2.2999855524790327,0.9912727937301254
2219,[-0.00028347  0.00401221  0.00352247  0.00147177],[0.08       0.23999999 0.17000002 0.50999999],[0.07959366 0.23865282 0.16618911 0.50583354],[-3.28289407e-05 -2.26071640e-04  1.41581679e-05  2.44742413e-04],200,3.477530756698325e-06,0.009289921294570236,0.996200661205706,0.08191082042536942,22.188448467217402,19.16689500214184,2.2912391298726846,0.9869027720565907
2220,[-0.00037546  0.00234476  0.00377672  0.00297696],[0.08       0.23999999 0.17000002 0.50999999],[0.07986165 0.23807904 0.16617084 0.50718073],[-0.00028381  0.0006695   0.00192361 -0.0023093 ],200,3.469791844276264e-05,0.009473890488618589,0.9902691304082567,0.08198954527921692,22.19792235770602,19.17544925274454,2.2688638794679328,0.9807165150657906
2221,[-0.00056284  0.00317232  0.00396836  0.00214514],[0.08       0.23999999 0.17000002 0.50999999],[0.0800423  0.23999999 0.17048163 0.50979851],[-0.00037579 -0.00099795  0.00217786 -0.00080412],200,2.8856940014615615e-05,0.00984865659534756,0.9912922620345044,0.08205444574165006,22.20777101430137,19.183942776892007,2.249041734857277,0.9813787049767236
2222,[-1.61692922e-05  3.42006283e-03  1.17220330e-03  4.14687829e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.07975296 0.23682811 0.1691375  0.50927683],[-0.00056317 -0.00017039  0.00236949 -0.00163593],200,3.112188569858949e-05,0.008755313711255083,1.0003224277617495,0.08212446055123943,22.216526328012623,19.19259561695789,2.2496968939301247,0.991497099240905
2223,[-0.00015376  0.0053234   0.00161066  0.00194269],[0.08       0.23999999 0.17000002 0.50999999],[0.0797119  0.24037478 0.17228697 0.49323926],[-1.65035536e-05  7.73577188e-05 -4.26659693e-04  3.65805528e-04],200,5.8223805969145684e-06,0.009030502511431185,0.9949954004932233,0.08213749351331381,22.225556830524056,19.20099199979929,2.238424963372821,0.9859518650197178
2224,[-0.00087513 -0.00054085 -0.00320298  0.01334194],[0.08       0.23999999 0.17000002 0.50999999],[0.08000519 0.23065588 0.16628447 0.49950772],[-1.54097954e-04  1.98069261e-03  1.17929782e-05 -1.83838763e-03],200,2.6046572143352214e-05,0.017960906558496137,0.9856129129045494,0.0821949564773926,22.243517737082552,19.21114323488011,2.2061622451708494,0.9675945433819745
2225,[-0.00193414  0.00712466  0.00130453  0.00222793],[0.08       0.23999999 0.17000002 0.50999999],[0.08012993 0.24110274 0.17366204 0.5172452 ],[-0.00087546 -0.00388356 -0.00480185  0.00956087],201,0.0001231821049834735,0.012591262909182763,0.9764532534496677,0.0824602836537574,22.256108999991735,19.220061397681878,2.153942542225604,0.9635966633641202
